detected_at_utc,symbol,signal_type,price,hh_band,ll_band
2025-11-28T20:38:00.176952+00:00,BTCUSDT,bearish_breakout,91050.10000000,91089.90000000,91052.20000000
2025-11-28T20:39:59.197026+00:00,BTCUSDT,bullish_breakout,91100.10000000,91089.90000000,91050.00000000
2025-11-28T20:49:58.846912+00:00,BTCUSDT,bullish_breakout,91091.50000000,91084.40000000,90996.60000000
2025-11-28T20:58:58.836202+00:00,BTCUSDT,bullish_breakout,91152.30000000,91132.70000000,91059.30000000
2025-11-28T21:12:59.014569+00:00,BTCUSDT,bearish_breakout,91084.10000000,91137.50000000,91115.70000000
2025-11-28T21:33:59.321786+00:00,BTCUSDT,bullish_breakout,91108.70000000,91100.60000000,91054.60000000
2025-11-28T21:40:58.931570+00:00,BTCUSDT,bullish_breakout,91138.40000000,91134.00000000,91060.30000000
2025-11-28T21:52:58.736233+00:00,BTCUSDT,bearish_breakout,90973.30000000,91129.10000000,91079.70000000
2025-11-28T21:58:58.760061+00:00,BTCUSDT,bearish_breakout,90853.20000000,90977.20000000,90918.60000000
2025-11-28T22:12:59.437164+00:00,BTCUSDT,bullish_breakout,90920.20000000,90907.10000000,90870.50000000
2025-11-28T22:13:59.035738+00:00,BTCUSDT,bearish_breakout,90788.00000000,90929.60000000,90870.50000000
2025-11-28T22:23:58.911472+00:00,BTCUSDT,bearish_breakout,90726.70000000,90823.70000000,90763.00000000
2025-11-28T22:26:00.551795+00:00,BTCUSDT,bullish_breakout,90831.10000000,90823.70000000,90726.70000000
2025-11-28T22:34:58.653630+00:00,BTCUSDT,bullish_breakout,90941.00000000,90913.60000000,90791.40000000
2025-11-28T22:45:58.679463+00:00,BTCUSDT,bullish_breakout,90988.10000000,90960.90000000,90891.00000000
